"invoice_number";"created";"edited";"edited_by";"invoice_comment";"invoice_date";"invoice_title";"status";"sub_total";"sub_total_with_vat";"total";"business_team_id";"customer_id"
19;"2023-12-21 12:36:14";"2023-12-21 12:36:41";"";"";"2022-01-18 01:00:00";"Invoice";"PAID";4700.0;5875.0;4700.0;12345321;3
20;"2023-12-21 12:37:01";"2023-12-21 12:37:24";"";"Drinks";"2022-08-10 02:00:00";"Invoice";"CONFIRMED";21456.0;26820.0;21456.0;12345321;1
21;"2023-12-21 12:37:26";"2023-12-21 12:37:43";"";"";"2022-08-11 02:00:00";"Invoice";"OVERDUE";319.8;399.75;319.8;12345321;2
22;"2023-12-21 12:37:45";"2023-12-21 12:38:06";"";"";"2022-08-11 02:00:00";"Invoice";"OVERPAID";79.95;99.9375;79.95;12345321;1
23;"2023-12-21 12:38:07";"2023-12-21 12:38:29";"";"";"2023-12-21 01:00:00";"Invoice";"CANCELLED";15.99;19.9875;15.99;12345321;2
24;"2023-12-21 12:38:42";"2023-12-21 12:38:55";"";"";"2022-08-09 02:00:00";"Invoice";"CANCELLED";21456.0;26820.0;21456.0;12345321;2
25;"2023-12-21 12:38:57";"2023-12-21 12:39:10";"";"";"2022-07-05 02:00:00";"Invoice";"CANCELLED";11999.0;14998.75;11999.0;12345321;2
26;"2023-12-21 12:42:17";"2023-12-21 12:42:42";"";"";"2021-01-13 01:00:00";"Invoice";"PAID";11999.0;14998.75;11999.0;12345321;1
27;"2023-12-21 12:42:47";"2023-12-21 12:43:05";"";"";"2021-02-10 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;3
28;"2023-12-21 12:43:07";"2023-12-21 12:43:28";"";"";"2021-04-15 02:00:00";"Invoice";"PAID";23998.0;29997.5;23998.0;12345321;2
29;"2023-12-21 12:43:30";"2023-12-21 12:43:44";"";"";"2021-05-13 02:00:00";"Invoice";"CONFIRMED";1500.0;1875.0;1500.0;12345321;2
30;"2023-12-21 12:43:46";"2023-12-21 12:44:02";"";"";"2021-07-14 02:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;2
31;"2023-12-21 12:44:12";"2023-12-21 12:44:40";"";"";"2021-11-17 01:00:00";"Invoice";"PAID";3444.9;4306.125;3444.9;12345321;3
32;"2023-12-21 12:44:42";"2023-12-21 12:44:59";"";"";"2021-12-21 01:00:00";"Invoice";"PAID";11999.0;14998.75;11999.0;12345321;1
34;"2023-12-21 12:45:36";"2023-12-21 12:45:49";"";"";"2021-05-12 02:00:00";"Invoice";"CANCELLED";11999.0;14998.75;11999.0;12345321;3
36;"2023-12-21 12:47:11";"2023-12-21 12:47:24";"";"";"2020-05-12 02:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;2
37;"2023-12-21 12:47:25";"2023-12-21 12:48:10";"";"";"2020-02-12 01:00:00";"Invoice";"PAID";11999.0;14998.75;11999.0;12345321;2
38;"2023-12-21 12:47:40";"2023-12-21 12:48:09";"";"";"2020-11-17 01:00:00";"Invoice";"PAID";24741.0;30926.25;24741.0;12345321;4
39;"2023-12-21 12:48:18";"2023-12-21 12:48:50";"";"";"2020-08-12 02:00:00";"Invoice";"PAID";4079.8;5099.75;4079.8;12345321;2
40;"2023-12-21 12:49:11";"2023-12-21 12:49:30";"";"";"2020-05-14 02:00:00";"Invoice";"CANCELLED";19.0;23.75;19.0;12345321;2
41;"2023-12-21 12:49:31";"2023-12-21 12:49:43";"";"";"2020-05-13 02:00:00";"Invoice";"CANCELLED";19.0;23.75;19.0;12345321;2
42;"2023-12-21 12:49:44";"2023-12-21 12:49:59";"";"";"2020-05-06 02:00:00";"Invoice";"OVERDUE";15.99;19.9875;15.99;12345321;2
43;"2023-12-21 12:50:18";"2023-12-21 12:50:32";"";"";"2019-01-10 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;2
44;"2023-12-21 12:50:33";"2023-12-21 12:50:50";"";"";"2019-05-14 02:00:00";"Invoice";"PAID";35997.0;44996.25;35997.0;12345321;1
45;"2023-12-21 12:50:51";"2023-12-21 12:51:17";"";"";"2019-08-15 02:00:00";"Invoice";"PAID";5699.5;7124.375;5699.5;12345321;4
46;"2023-12-21 12:51:26";"2023-12-21 12:51:58";"";"";"2019-11-13 01:00:00";"Invoice";"PAID";16498.0;20622.5;16498.0;12345321;2
47;"2023-12-21 12:52:53";"2023-12-21 12:53:05";"";"";"2019-08-07 02:00:00";"Invoice";"CANCELLED";150.0;187.5;150.0;12345321;1
48;"2023-12-21 12:53:06";"2023-12-21 12:53:19";"";"";"2019-08-07 02:00:00";"Invoice";"OVERDUE";19.0;23.75;19.0;12345321;2
49;"2023-12-21 12:53:20";"2023-12-21 12:53:38";"";"";"2019-07-11 02:00:00";"Invoice";"CANCELLED";34.99;43.737500000000004;34.99;12345321;1
50;"2023-12-21 12:53:57";"2023-12-21 12:54:14";"";"";"2018-01-10 01:00:00";"Invoice";"PAID";23998.0;29997.5;23998.0;12345321;2
51;"2023-12-21 12:54:18";"2023-12-21 12:54:32";"";"";"2019-05-08 02:00:00";"Invoice";"CONFIRMED";11999.0;14998.75;11999.0;12345321;2
52;"2023-12-21 12:54:33";"2023-12-21 12:54:57";"";"";"2018-08-08 02:00:00";"Invoice";"OVERDUE";11999.0;14998.75;11999.0;12345321;1
53;"2023-12-21 12:55:13";"2023-12-21 12:55:27";"";"";"2018-08-08 02:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;2
54;"2023-12-21 12:55:28";"2023-12-21 12:55:45";"";"";"2018-12-08 01:00:00";"Invoice";"PAID";35997.0;44996.25;35997.0;12345321;1
55;"2023-12-21 12:55:56";"2023-12-21 12:56:09";"";"";"2018-05-08 02:00:00";"Invoice";"CANCELLED";19.0;23.75;19.0;12345321;1
56;"2023-12-21 12:56:11";"2023-12-21 12:56:27";"";"";"2018-06-14 02:00:00";"Invoice";"OVERDUE";169.0;211.25;169.0;12345321;2
57;"2023-12-21 12:56:39";"2023-12-21 12:57:02";"";"";"2018-08-09 02:00:00";"Invoice";"PAID";7979.0;9973.75;7979.0;12345321;1
58;"2023-12-21 12:57:10";"2023-12-21 12:57:24";"";"";"2018-05-09 02:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;1
59;"2023-12-21 12:57:36";"2023-12-21 12:57:54";"";"";"2018-05-16 02:00:00";"Invoice";"OVERDUE";21456.0;26820.0;21456.0;12345321;1
60;"2023-12-21 12:58:03";"2023-12-21 12:58:20";"";"";"2018-05-09 02:00:00";"Invoice";"CONFIRMED";184.99;231.2375;184.99;12345321;1
61;"2023-12-21 12:58:40";"2023-12-21 12:58:52";"";"";"2021-05-12 02:00:00";"Invoice";"OVERPAID";21456.0;26820.0;21456.0;12345321;1
62;"2023-12-21 12:58:54";"2023-12-21 12:59:05";"";"";"2020-06-10 02:00:00";"Invoice";"OVERPAID";21456.0;26820.0;21456.0;12345321;1
63;"2023-12-21 12:59:25";"2023-12-21 12:59:38";"";"";"2019-05-07 02:00:00";"Invoice";"OVERPAID";184.99;231.2375;184.99;12345321;1
64;"2023-12-21 12:59:39";"2023-12-21 12:59:53";"";"";"2018-05-15 02:00:00";"Invoice";"OVERPAID";11999.0;14998.75;11999.0;12345321;2
65;"2023-12-21 13:08:33";"2023-12-21 13:08:54";"";"";"2024-01-09 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;1
66;"2023-12-21 13:08:55";"2023-12-21 13:09:11";"";"";"2024-05-09 02:00:00";"Invoice";"CONFIRMED";11999.0;14998.75;11999.0;12345321;1
67;"2023-12-21 13:09:12";"2023-12-21 13:09:26";"";"";"2024-08-09 02:00:00";"Invoice";"CANCELLED";15.99;19.9875;15.99;12345321;3
68;"2023-12-21 13:09:27";"2023-12-21 13:09:49";"";"";"2024-12-19 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;1
